Fecha,Usuario,CPU_Por,Memoria_Por,Proceso,,,,,
210308-205401,hbase,2.6,20.5,/usr/java/jdk1.7.0_67-cloudera/bin/java,,,,,
210308-205401,hbase,0,0,python2.7,,,,,
210308-205401,hbase,0.3,0,/bin/bash,,,,,
210308-205401,hdfs,5.9,1,/usr/java/jdk1.7.0_67-cloudera/bin/java,,,,,
210308-205401,hdfs,0,0,python2.7,,,,,
210308-205401,impala,139,11.8,/opt/cloudera/parcels/CDH-5.13.0-1.cdh5.13.0.p0.29/lib/impala/sbin-retail/impalad,,,,,
210308-205401,impala,0,0,python2.7,,,,,
210308-205401,yarn,0,0,bash,,,,,
210308-205401,yarn,0,0,/bin/bash,,,,,
210308-205401,yarn,142,0.7,/usr/java/jdk1.7.0_67-cloudera/bin/java,,,,,
210308-205401,yarn,1.7,1.1,/usr/java/jdk1.7.0_67-cloudera/bin/java,,,,,
210308-205401,yarn,0,0,python2.7,,,,,
210308-205901,hbase,0,0,sleep,,,,,
210308-205901,hbase,2.6,20.5,/usr/java/jdk1.7.0_67-cloudera/bin/java,,,,,
210308-205901,hbase,0,0,python2.7,,,,,
210308-205901,hbase,0.3,0,/bin/bash,,,,,
210308-205901,hdfs,5.9,1,/usr/java/jdk1.7.0_67-cloudera/bin/java,,,,,
210308-205901,hdfs,0,0,python2.7,,,,,
210308-205901,impala,139,11.6,/opt/cloudera/parcels/CDH-5.13.0-1.cdh5.13.0.p0.29/lib/impala/sbin-retail/impalad,,,,,
210308-205901,impala,0,0,python2.7,,,,,
210308-205901,yarn,1.7,1.1,/usr/java/jdk1.7.0_67-cloudera/bin/java,,,,,
210308-205901,yarn,0,0,python2.7,,,,,
210308-205901,yarn,0,0,bash,,,,,
210308-205901,yarn,0,0,/bin/bash,,,,,
210308-205901,yarn,141,0.6,/usr/java/jdk1.7.0_67-cloudera/bin/java,,,,,
210308-210401,hbase,2.6,20.5,/usr/java/jdk1.7.0_67-cloudera/bin/java,,,,,
210308-210401,hbase,0,0,python2.7,,,,,
210308-210401,hbase,0.3,0,/bin/bash,,,,,
210308-210401,hbase,0,0,sleep,,,,,
210308-210401,hdfs,5.9,1,/usr/java/jdk1.7.0_67-cloudera/bin/java,,,,,
210308-210401,hdfs,0,0,python2.7,,,,,
210308-210401,impala,139,11.6,/opt/cloudera/parcels/CDH-5.13.0-1.cdh5.13.0.p0.29/lib/impala/sbin-retail/impalad,,,,,
210308-210401,impala,0,0,python2.7,,,,,
210308-210401,yarn,1.7,1.1,/usr/java/jdk1.7.0_67-cloudera/bin/java,,,,,
210308-210401,yarn,0,0,python2.7,,,,,
210308-210901,hbase,0,0,sleep,,,,,
210308-210901,hbase,2.6,20.5,/usr/java/jdk1.7.0_67-cloudera/bin/java,,,,,
210308-210901,hbase,0,0,python2.7,,,,,
210308-210901,hbase,0.3,0,/bin/bash,,,,,
210308-210901,hdfs,5.9,1,/usr/java/jdk1.7.0_67-cloudera/bin/java,,,,,
210308-210901,hdfs,0,0,python2.7,,,,,
210308-210901,impala,139,11.6,/opt/cloudera/parcels/CDH-5.13.0-1.cdh5.13.0.p0.29/lib/impala/sbin-retail/impalad,,,,,
210308-210901,impala,0,0,python2.7,,,,,
210308-210901,yarn,1.7,1.1,/usr/java/jdk1.7.0_67-cloudera/bin/java,,,,,
210308-210901,yarn,0,0,python2.7,,,,,
210308-211401,hbase,0,0,sleep,,,,,
210308-211401,hbase,2.6,20.5,/usr/java/jdk1.7.0_67-cloudera/bin/java,,,,,
210308-211401,hbase,0,0,python2.7,,,,,
210308-211401,hbase,0.3,0,/bin/bash,,,,,
210308-211401,hdfs,5.9,1,/usr/java/jdk1.7.0_67-cloudera/bin/java,,,,,
210308-211401,hdfs,0,0,python2.7,,,,,
210308-211401,impala,139,11.7,/opt/cloudera/parcels/CDH-5.13.0-1.cdh5.13.0.p0.29/lib/impala/sbin-retail/impalad,,,,,
210308-211401,impala,0,0,python2.7,,,,,
210308-211401,yarn,1.7,1.1,/usr/java/jdk1.7.0_67-cloudera/bin/java,,,,,
210308-211401,yarn,0,0,python2.7,,,,,
210308-211901,hbase,0,0,sleep,,,,,
210308-211901,hbase,2.6,20.5,/usr/java/jdk1.7.0_67-cloudera/bin/java,,,,,
210308-211901,hbase,0,0,python2.7,,,,,
210308-211901,hbase,0.3,0,/bin/bash,,,,,
210308-211901,hdfs,5.9,1,/usr/java/jdk1.7.0_67-cloudera/bin/java,,,,,
210308-211901,hdfs,0,0,python2.7,,,,,
210308-211901,impala,139,11.9,/opt/cloudera/parcels/CDH-5.13.0-1.cdh5.13.0.p0.29/lib/impala/sbin-retail/impalad,,,,,
210308-211901,impala,0,0,python2.7,,,,,
210308-211901,yarn,1.7,1.1,/usr/java/jdk1.7.0_67-cloudera/bin/java,,,,,
210308-211901,yarn,0,0,python2.7,,,,,
210308-212401,hbase,2.6,20.5,/usr/java/jdk1.7.0_67-cloudera/bin/java,,,,,
210308-212401,hbase,0,0,python2.7,,,,,
210308-212401,hbase,0.3,0,/bin/bash,,,,,
210308-212401,hbase,0,0,sleep,,,,,
210308-212401,hdfs,5.9,1,/usr/java/jdk1.7.0_67-cloudera/bin/java,,,,,
210308-212401,hdfs,0,0,python2.7,,,,,
210308-212401,impala,139,11.8,/opt/cloudera/parcels/CDH-5.13.0-1.cdh5.13.0.p0.29/lib/impala/sbin-retail/impalad,,,,,
210308-212401,impala,0,0,python2.7,,,,,
210308-212401,yarn,1.7,1.1,/usr/java/jdk1.7.0_67-cloudera/bin/java,,,,,
210308-212401,yarn,0,0,python2.7,,,,,
210308-212901,hbase,0,0,sleep,,,,,
210308-212901,hbase,2.6,20.5,/usr/java/jdk1.7.0_67-cloudera/bin/java,,,,,
210308-212901,hbase,0,0,python2.7,,,,,
210308-212901,hbase,0.3,0,/bin/bash,,,,,
210308-212901,hdfs,5.9,1,/usr/java/jdk1.7.0_67-cloudera/bin/java,,,,,
210308-212901,hdfs,0,0,python2.7,,,,,
210308-212901,impala,139,11.7,/opt/cloudera/parcels/CDH-5.13.0-1.cdh5.13.0.p0.29/lib/impala/sbin-retail/impalad,,,,,
210308-212901,impala,0,0,python2.7,,,,,
210308-212901,yarn,1.7,1.1,/usr/java/jdk1.7.0_67-cloudera/bin/java,,,,,
210308-212901,yarn,0,0,python2.7,,,,,
210308-213401,hbase,0,0,sleep,,,,,
210308-213401,hbase,2.6,20.5,/usr/java/jdk1.7.0_67-cloudera/bin/java,,,,,
210308-213401,hbase,0,0,python2.7,,,,,
210308-213401,hbase,0.3,0,/bin/bash,,,,,
210308-213401,hdfs,5.9,1,/usr/java/jdk1.7.0_67-cloudera/bin/java,,,,,
210308-213401,hdfs,0,0,python2.7,,,,,
210308-213401,impala,139,11.7,/opt/cloudera/parcels/CDH-5.13.0-1.cdh5.13.0.p0.29/lib/impala/sbin-retail/impalad,,,,,
210308-213401,impala,0,0,python2.7,,,,,
210308-213401,yarn,1.7,1.1,/usr/java/jdk1.7.0_67-cloudera/bin/java,,,,,
210308-213401,yarn,0,0,python2.7,,,,,
210308-213901,hbase,0,0,sleep,,,,,
210308-213901,hbase,2.6,20.5,/usr/java/jdk1.7.0_67-cloudera/bin/java,,,,,
210308-213901,hbase,0,0,python2.7,,,,,
210308-213901,hbase,0.3,0,/bin/bash,,,,,
210308-213901,hdfs,5.9,1,/usr/java/jdk1.7.0_67-cloudera/bin/java,,,,,
210308-213901,hdfs,0,0,python2.7,,,,,
210308-213901,impala,139,11.7,/opt/cloudera/parcels/CDH-5.13.0-1.cdh5.13.0.p0.29/lib/impala/sbin-retail/impalad,,,,,
210308-213901,impala,0,0,python2.7,,,,,
210308-213901,yarn,1.7,1.1,/usr/java/jdk1.7.0_67-cloudera/bin/java,,,,,
210308-213901,yarn,0,0,python2.7,,,,,
210308-214401,hbase,0,0,sleep,,,,,
210308-214401,hbase,2.6,20.5,/usr/java/jdk1.7.0_67-cloudera/bin/java,,,,,
210308-214401,hbase,0,0,python2.7,,,,,
210308-214401,hbase,0.3,0,/bin/bash,,,,,
210308-214401,hdfs,5.9,1,/usr/java/jdk1.7.0_67-cloudera/bin/java,,,,,
210308-214401,hdfs,0,0,python2.7,,,,,
210308-214401,impala,139,11.7,/opt/cloudera/parcels/CDH-5.13.0-1.cdh5.13.0.p0.29/lib/impala/sbin-retail/impalad,,,,,
210308-214401,impala,0,0,python2.7,,,,,
210308-214401,yarn,1.7,1.1,/usr/java/jdk1.7.0_67-cloudera/bin/java,,,,,
210308-214401,yarn,0,0,python2.7,,,,,
210308-214901,hbase,0,0,sleep,,,,,
210308-214901,hbase,2.6,20.5,/usr/java/jdk1.7.0_67-cloudera/bin/java,,,,,
210308-214901,hbase,0,0,python2.7,,,,,
210308-214901,hbase,0.3,0,/bin/bash,,,,,
210308-214901,hdfs,5.9,1,/usr/java/jdk1.7.0_67-cloudera/bin/java,,,,,
210308-214901,hdfs,0,0,python2.7,,,,,
210308-214901,impala,139,11.7,/opt/cloudera/parcels/CDH-5.13.0-1.cdh5.13.0.p0.29/lib/impala/sbin-retail/impalad,,,,,
210308-214901,impala,0,0,python2.7,,,,,
210308-214901,yarn,1.7,1.1,/usr/java/jdk1.7.0_67-cloudera/bin/java,,,,,
210308-214901,yarn,0,0,python2.7,,,,,
210308-215401,hbase,0,0,sleep,,,,,
210308-215401,hbase,2.6,20.5,/usr/java/jdk1.7.0_67-cloudera/bin/java,,,,,
210308-215401,hbase,0,0,python2.7,,,,,
210308-215401,hbase,0.3,0,/bin/bash,,,,,
210308-215401,hdfs,5.9,1,/usr/java/jdk1.7.0_67-cloudera/bin/java,,,,,
210308-215401,hdfs,0,0,python2.7,,,,,
210308-215401,impala,139,11.7,/opt/cloudera/parcels/CDH-5.13.0-1.cdh5.13.0.p0.29/lib/impala/sbin-retail/impalad,,,,,
210308-215401,impala,0,0,python2.7,,,,,
210308-215401,yarn,1.7,1.1,/usr/java/jdk1.7.0_67-cloudera/bin/java,,,,,
210308-215401,yarn,0,0,python2.7,,,,,
210308-215901,hbase,2.6,20.5,/usr/java/jdk1.7.0_67-cloudera/bin/java,,,,,
210308-215901,hbase,0,0,python2.7,,,,,
210308-215901,hbase,0.3,0,/bin/bash,,,,,
210308-215901,hbase,0,0,sleep,,,,,
210308-215901,hdfs,5.9,1,/usr/java/jdk1.7.0_67-cloudera/bin/java,,,,,
210308-215901,hdfs,0,0,python2.7,,,,,
210308-215901,impala,139,11.6,/opt/cloudera/parcels/CDH-5.13.0-1.cdh5.13.0.p0.29/lib/impala/sbin-retail/impalad,,,,,
210308-215901,impala,0,0,python2.7,,,,,
210308-215901,yarn,1.7,1.1,/usr/java/jdk1.7.0_67-cloudera/bin/java,,,,,
210308-215901,yarn,0,0,python2.7,,,,,
210308-220401,hbase,0,0,sleep,,,,,
210308-220401,hbase,2.6,20.5,/usr/java/jdk1.7.0_67-cloudera/bin/java,,,,,
210308-220401,hbase,0,0,python2.7,,,,,
210308-220401,hbase,0.3,0,/bin/bash,,,,,
210308-220401,hdfs,5.9,1,/usr/java/jdk1.7.0_67-cloudera/bin/java,,,,,
210308-220401,hdfs,0,0,python2.7,,,,,
210308-220401,impala,139,11.6,/opt/cloudera/parcels/CDH-5.13.0-1.cdh5.13.0.p0.29/lib/impala/sbin-retail/impalad,,,,,
210308-220401,impala,0,0,python2.7,,,,,
210308-220401,yarn,1.7,1.1,/usr/java/jdk1.7.0_67-cloudera/bin/java,,,,,
210308-220401,yarn,0,0,python2.7,,,,,
210308-220901,hbase,0,0,sleep,,,,,
210308-220901,hbase,2.6,20.5,/usr/java/jdk1.7.0_67-cloudera/bin/java,,,,,
210308-220901,hbase,0,0,python2.7,,,,,
210308-220901,hbase,0.3,0,/bin/bash,,,,,
210308-220901,hdfs,5.9,1,/usr/java/jdk1.7.0_67-cloudera/bin/java,,,,,
210308-220901,hdfs,0,0,python2.7,,,,,
210308-220901,impala,139,11.6,/opt/cloudera/parcels/CDH-5.13.0-1.cdh5.13.0.p0.29/lib/impala/sbin-retail/impalad,,,,,
210308-220901,impala,0,0,python2.7,,,,,
210308-220901,yarn,1.7,1.1,/usr/java/jdk1.7.0_67-cloudera/bin/java,,,,,
210308-220901,yarn,0,0,python2.7,,,,,
210308-221401,hbase,0,0,sleep,,,,,
210308-221401,hbase,2.6,20.5,/usr/java/jdk1.7.0_67-cloudera/bin/java,,,,,
210308-221401,hbase,0,0,python2.7,,,,,
210308-221401,hbase,0.3,0,/bin/bash,,,,,
210308-221401,hdfs,5.9,1,/usr/java/jdk1.7.0_67-cloudera/bin/java,,,,,
210308-221401,hdfs,0,0,python2.7,,,,,
210308-221401,impala,139,11.6,/opt/cloudera/parcels/CDH-5.13.0-1.cdh5.13.0.p0.29/lib/impala/sbin-retail/impalad,,,,,
210308-221401,impala,0,0,python2.7,,,,,
210308-221401,yarn,1.7,1.1,/usr/java/jdk1.7.0_67-cloudera/bin/java,,,,,
210308-221401,yarn,0,0,python2.7,,,,,
210308-221901,hbase,0,0,sleep,,,,,
210308-221901,hbase,2.6,20.5,/usr/java/jdk1.7.0_67-cloudera/bin/java,,,,,
210308-221901,hbase,0,0,python2.7,,,,,
210308-221901,hbase,0.3,0,/bin/bash,,,,,
210308-221901,hdfs,5.9,1,/usr/java/jdk1.7.0_67-cloudera/bin/java,,,,,
210308-221901,hdfs,0,0,python2.7,,,,,
210308-221901,impala,139,11.7,/opt/cloudera/parcels/CDH-5.13.0-1.cdh5.13.0.p0.29/lib/impala/sbin-retail/impalad,,,,,
210308-221901,impala,0,0,python2.7,,,,,
210308-221901,yarn,1.7,1.1,/usr/java/jdk1.7.0_67-cloudera/bin/java,,,,,
210308-221901,yarn,0,0,python2.7,,,,,
210308-222401,hbase,0,0,sleep,,,,,
210308-222401,hbase,2.6,20.5,/usr/java/jdk1.7.0_67-cloudera/bin/java,,,,,
210308-222401,hbase,0,0,python2.7,,,,,
210308-222401,hbase,0.3,0,/bin/bash,,,,,
210308-222401,hdfs,5.9,1,/usr/java/jdk1.7.0_67-cloudera/bin/java,,,,,
210308-222401,hdfs,0,0,python2.7,,,,,
210308-222401,impala,139,11.7,/opt/cloudera/parcels/CDH-5.13.0-1.cdh5.13.0.p0.29/lib/impala/sbin-retail/impalad,,,,,
210308-222401,impala,0,0,python2.7,,,,,
210308-222401,yarn,1.7,1.1,/usr/java/jdk1.7.0_67-cloudera/bin/java,,,,,
210308-222401,yarn,0,0,python2.7,,,,,
210308-222901,hbase,2.6,20.5,/usr/java/jdk1.7.0_67-cloudera/bin/java,,,,,
210308-222901,hbase,0,0,python2.7,,,,,
210308-222901,hbase,0.3,0,/bin/bash,,,,,
210308-222901,hbase,0,0,sleep,,,,,
210308-222901,hdfs,5.9,1,/usr/java/jdk1.7.0_67-cloudera/bin/java,,,,,
210308-222901,hdfs,0,0,python2.7,,,,,
